District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Familes,Liquor Licenses,Faith Orgs,Parks
1,Police,47807,5.087,878,1242,17512,16030,7840,4305,26092,21715,4787,398,46,57
2,Police,85671,7.111,9501,20535,10111,26667,14386,4471,44206,41465,25291,231,81,54
3,Police,82030,11.868,6935,15451,16285,21378,16882,5098,39606,42424,15925,147,156,78
4,Police,94295,28.782,9037,21385,9778,24858,20389,8848,42805,51490,23283,62,69,102
5,Police,67841,7.719,5664,14139,8729,18674,14574,6061,31960,35881,14640,146,160,60
6,Police,114117,22.729,8242,17664,9117,34869,29069,15156,55659,58458,28251,228,61,74
7,Police,102336,13.342,8408,22195,9788,27861,24895,9189,46248,56088,25500,77,135,78
1,Aldermanic,36783,6.9,3291,8390,3958,9252,8635,3257,16747,20036,9174,35,55,57
2,Aldermanic,29684,6.4,3754,9646,4316,10358,8616,2994,17968,21716,9954,21,33,14
3,Aldermanic,43731,3.5,1187,1868,15958,13765,7364,3589,22956,20775,4998,182,36,48
4,Aldermanic,38711,3.4,2071,3381,13289,10617,6801,2552,20495,18216,4672,261,37,27
5,Aldermanic,43078,10,3619,8044,3700,12722,10308,4685,19833,23245,10943,29,36,42
6,Aldermanic,38892,4.8,3329,8664,4649,10413,8284,3553,18181,20711,8536,91,104,38
7,Aldermanic,37630,4.3,3254,9297,3915,9355,8944,2865,16861,20769,9223,31,66,38
8,Aldermanic,41674,3.8,4308,9594,4521,12703,7707,2841,21167,20507,8814,71,34,14
9,Aldermanic,40807,14.02,3722,8869,4059,10548,8724,4885,18272,22535,9811,32,23,31
10,Aldermanic,39980,7.1,3078,6615,4035,12783,10308,3160,19050,20930,9283,60,45,48
11,Aldermanic,39930,6.5,2883,6052,3248,11472,10233,6042,19049,20881,10142,37,24,29
12,Aldermanic,39808,3.4,4503,9361,5004,12920,6313,1707,20838,18970,8052,174,46,29
13,Aldermanic,40564,12,3117,7231,3291,11268,10061,5596,19940,20624,10197,83,15,17
14,Aldermanic,38512,5.9,2944,5977,3338,13555,9245,3453,19235,19277,8835,121,23,42
15,Aldermanic,34313,4.4,3605,9622,4039,8606,6492,1949,15984,18329,7472,61,131,29
